Iteration;elapsedTime;rmse;mae;r2;rae;rse
0;78;8761064,235551042;6384323,380752938;0,9973175286319514;0,04371237820755373;-3,6213833210906356E-21;
1;20;1,3326183735112337E7;1,094078335106126E7;0,9937936972138816;0,07490968599276915;-8,290865832198918E-21;
2;17;8884728,869954161;7027672,56360268;0,9972412666537005;0,04811728082965931;-3,6841285111048824E-21;
3;13;7242371,3033936815;5498166,457995828;0,9981669135840344;0,03764501221610353;-2,4513335535382073E-21;
4;15;6682208,020349435;5003769,608554353;0,9984395087112493;0,034259960930549754;-2,0816271198376557E-21;
5;13;1,1153978299780833E7;8176963,501772781;0,9956520858885861;0,05598628074768678;-5,767820361545512E-21;
6;15;6862054,097679987;4929800,328506286;0,9983543796810801;0,03375350582914475;-2,225279292316632E-21;
7;12;6992213,172195236;5018078,016455736;0,9982913595387812;0,03435792817005689;-2,3117132310730527E-21;
8;11;6760993,809914649;4650557,632566558;0,9984024942036258;0,03184157850205895;-2,161132493842485E-21;
9;11;6886129,851812027;4633680,69216359;0,9983428119922007;0,031726024956619046;-2,2390763341058277E-21;
